date_mutation,Unnamed: 0.1,id_mutation,valeur_fonciere,code_commune,code_departement,surface_reelle_bati,nombre_pieces_principales,surface_terrain,Appartement,Dependance,Local,Maison
2016-06-06,1171,2016-1041966,930000.0,83112.0,83.0,162.0,6.0,545.0,0,0,0,1
2016-06-06,911,2016-1028504,240000.0,83106.0,83.0,112.0,4.0,1410.0,0,0,0,1
2016-06-06,1390,2016-1052489,255000.0,84105.0,84.0,98.0,4.0,900.0,0,0,0,1
2016-06-10,906,2016-1028269,445000.0,83057.0,83.0,180.0,5.0,500.0,0,0,0,1
2016-06-15,923,2016-1028969,250000.0,83095.0,83.0,90.0,4.0,500.0,0,0,0,1
2016-06-16,1388,2016-1052413,102460.0,84003.0,84.0,78.0,3.0,918.0,0,0,0,1
2016-06-17,572,2016-137594,310000.0,13039.0,13.0,83.0,5.0,615.0,0,0,0,1
2016-06-17,579,2016-137970,298550.0,13026.0,13.0,107.0,5.0,860.0,0,0,0,1
2016-06-18,909,2016-1028415,269600.0,83025.0,83.0,90.0,3.0,1525.0,0,0,0,1
2016-06-21,1288,2016-1047931,278600.0,84088.0,84.0,106.0,3.0,607.0,0,0,0,1
2016-06-21,578,2016-137915,420000.0,13104.0,13.0,90.0,3.0,498.0,1,0,0,0
2016-06-22,907,2016-1028323,65000.0,83104.0,83.0,95.0,3.0,40.0,0,0,0,1
2016-06-24,859,2016-1026161,87250.0,83086.0,83.0,132.0,4.0,622.0,0,0,0,1
2016-06-27,670,2016-142303,4500000.0,13100.0,13.0,100.0,0.0,9252.0,0,0,1,0
2016-06-29,36,2016-109087,220000.0,13215.0,13.0,75.0,3.0,577.0,0,0,0,1
2016-07-01,777,2016-1022059,823000.0,83107.0,83.0,200.0,6.0,500.0,0,0,0,1
2016-07-04,673,2016-142420,257850.0,13045.0,13.0,81.0,4.0,390.0,0,0,0,1
2016-07-05,1052,2016-1035527,340000.0,83137.0,83.0,98.0,4.0,789.0,0,0,0,1
2016-07-06,1299,2016-1048483,550000.0,84031.0,84.0,62.0,2.0,260.0,1,0,0,0
2016-07-06,914,2016-1028607,270000.0,83148.0,83.0,88.0,4.0,701.0,0,0,0,1
2016-07-07,1301,2016-1048560,257850.0,84141.0,84.0,97.0,4.0,277.0,0,0,0,1
2016-07-08,444,2016-131899,140000.0,13099.0,13.0,70.0,3.0,76.0,0,0,0,1
2016-07-08,433,2016-131305,580000.0,13001.0,13.0,56.0,3.0,1284.0,1,0,0,0
2016-07-08,430,2016-131160,655360.0,13001.0,13.0,200.0,7.0,1000.0,0,0,0,1
2016-07-11,1178,2016-1042311,348000.0,83047.0,83.0,89.0,4.0,608.0,0,0,0,1
2016-07-11,435,2016-131397,700000.0,13001.0,13.0,61.0,3.0,557.0,1,0,0,0
2016-07-11,925,2016-1029064,215000.0,83104.0,83.0,78.0,4.0,1358.0,0,0,0,1
2016-07-12,920,2016-1028853,335000.0,83023.0,83.0,98.0,4.0,500.0,0,0,0,1
2016-07-12,921,2016-1028895,235700.0,83059.0,83.0,95.0,4.0,680.0,0,0,0,1
2016-07-13,1469,2016-1055905,380000.0,84019.0,84.0,193.0,5.0,500.0,0,0,0,1
2016-07-13,213,2016-119854,1360000.0,13208.0,13.0,207.0,5.0,937.0,0,0,0,1
2016-07-18,217,2016-120057,270750.0,13209.0,13.0,52.0,2.0,272.0,0,0,0,1
2016-07-19,322,2016-125459,470000.0,13212.0,13.0,157.0,6.0,679.0,0,0,0,1
2016-07-22,1186,2016-1042769,255000.0,83033.0,83.0,84.0,3.0,1000.0,0,0,0,1
2016-07-22,1057,2016-1035814,465000.0,83137.0,83.0,42.0,2.0,250.0,1,0,0,0
2016-07-25,712,2016-144188,100000.0,13004.0,13.0,175.0,4.0,7501.0,0,0,0,1
2016-07-26,926,2016-1029107,230000.0,83136.0,83.0,85.0,4.0,680.0,0,0,0,1
2016-07-27,87,2016-112059,143000.0,13215.0,13.0,52.0,3.0,512.0,0,0,0,1
2016-07-28,1188,2016-1042853,145000.0,83123.0,83.0,22.0,1.0,47.0,0,0,0,1
2016-07-28,929,2016-1029238,210000.0,83073.0,83.0,90.0,3.0,641.0,0,0,0,1
2016-07-28,1190,2016-1042959,702500.0,83071.0,83.0,93.0,4.0,472.0,0,0,0,1
2016-07-29,446,2016-131992,429280.0,13060.0,13.0,123.0,5.0,441.0,0,0,0,1
2016-07-29,221,2016-120295,750000.0,13028.0,13.0,80.0,4.0,45.0,0,0,0,1
2016-07-29,794,2016-1022936,500000.0,83063.0,83.0,185.0,6.0,2000.0,0,0,0,1
2016-07-29,676,2016-142574,204065.0,13004.0,13.0,89.0,5.0,324.0,0,0,0,1
2016-07-29,931,2016-1029333,350000.0,83092.0,83.0,240.0,7.0,2000.0,0,0,0,1
2016-08-03,928,2016-1029197,251800.0,83064.0,83.0,84.0,5.0,1312.0,0,0,0,1
2016-08-03,1307,2016-1048834,260000.0,84141.0,84.0,105.0,4.0,392.0,0,0,0,1
2016-08-04,442,2016-131792,160000.0,13063.0,13.0,73.0,4.0,194.0,0,0,0,1
2016-08-04,1470,2016-1055950,285000.0,84135.0,84.0,118.0,5.0,2000.0,0,0,0,1
2016-08-05,449,2016-132106,297000.0,13015.0,13.0,80.0,3.0,138.0,0,0,0,1
2016-08-05,445,2016-131949,730640.0,13107.0,13.0,170.0,5.0,886.0,0,0,0,1
2016-08-09,933,2016-1029413,253000.0,83110.0,83.0,89.0,4.0,375.0,0,0,0,1
2016-08-11,679,2016-142702,459000.0,13004.0,13.0,128.0,5.0,2560.0,0,0,0,1
2016-08-12,326,2016-125666,350000.0,13213.0,13.0,126.0,4.0,602.0,0,0,0,1
2016-08-17,1310,2016-1048979,340000.0,84081.0,84.0,200.0,6.0,155.0,0,0,0,1
2016-08-18,593,2016-138657,166395.0,13014.0,13.0,55.0,2.0,97.0,0,0,0,1
2016-08-19,451,2016-132218,543660.0,13074.0,13.0,145.0,5.0,3868.0,0,0,0,1
2016-08-22,940,2016-1029717,150000.0,83067.0,83.0,51.0,1.0,678.0,0,0,0,1
2016-08-22,47,2016-109775,205000.0,13204.0,13.0,40.0,3.0,82.0,0,0,0,1
2016-08-23,1195,2016-1043217,280000.0,83017.0,83.0,89.0,3.0,5591.0,0,0,0,1
2016-08-24,939,2016-1029670,170000.0,83114.0,83.0,120.0,4.0,96.0,0,0,0,1
2016-08-24,1474,2016-1056129,120000.0,84106.0,84.0,85.0,4.0,114.0,1,0,0,0
2016-08-24,941,2016-1029760,210000.0,83032.0,83.0,75.0,3.0,500.0,0,0,0,1
